标题,内容,发布时间,发布日期,提取证券名称,匹配证券代码
华虹公司：拟向全资子公司华虹宏力增资126.32亿元,【华虹公司：拟向全资子公司华虹宏力增资126.32亿元】《科创板日报》20日讯，华虹公司公告，拟使用募集资金向全资子公司华虹宏力增资126.3235亿元。本次公司向华虹宏力增资的募集资金中，部分募集资金将用于华虹宏力向华虹制造（无锡）项目的实施主体华虹半导体制造（无锡）有限公司增资，其余募集资金将用于8英寸厂优化升级项目、特色工艺技术创新研发项目及补充流动资金。,17:40:30,2023-09-20,华虹公司,688347.SH
2023年版全球创新指数（GII）发布：全球五大科技集群目前全部位于东亚,【2023年版全球创新指数（GII）发布：全球五大科技集群目前全部位于东亚】财联社9月20日电，世界知识产权组织今日在博鳌亚洲论坛国际科技与创新大会发布2023 年版全球创新指数（GII），全球排名前五的科技集群目前全部位于东亚，分别为东京-横滨（日本）、深圳-香港-广州（中国和中国香港）、首尔（韩国）、北京（中国）和上海-苏州（中国）。（财联社记者郭松桥 董巍）,17:39:20,2023-09-20,2023年版,
印尼总统：正推动与美国尽快签署关键矿产协议,【印尼总统：正推动与美国尽快签署关键矿产协议】财联社9月20日电，印尼总统佐科·维多多接受电视采访表示，印尼正推动与美国尽快签署关键矿产协议，“若如我们所愿签署协议，这当然对印尼的产品有利，印尼的产品将能够进入非常广大的美国市场”。本月早些时候，美国副总统哈里斯在访问雅加达期间表示，美方希望扩大与印尼的矿产关系，因后者拥有全球最大镍储量。,17:39:14,2023-09-20,印尼总统,
世界知识产权组织：中国拥24个科技集群 比去年增加3个,【世界知识产权组织：中国拥24个科技集群 比去年增加3个】财联社9月20日电，世界知识产权组织今日在博鳌亚洲论坛国际科技与创新大会发布2023 年版全球创新指数（GII），查明中国拥有 24个科技集群，比去年的 21个有所增加，是科技集群数量最多的国家，其中深圳-香港-广州、北京、上海-苏州、南京名列前茅。 在百强集群中，美国占21个，德国9个，日本、加拿大、印度和韩国各4个。（记者郭松桥 董巍）,17:39:07,2023-09-20,世界知识产权,
海南发布航行警告：军事训练 禁止驶入,【海南发布航行警告：军事训练 禁止驶入】财联社9月20日电，从海南海事局网站获悉，清澜海事局日前发布航行警告：自9月20日8时30分至9月22日17时，南海部分海域进行军事训练，禁止驶入。,17:38:56,2023-09-20,海南发布航行,
龙迅股份：拟1000万美元在新加坡设立全资子公司,【龙迅股份：拟1000万美元在新加坡设立全资子公司】《科创板日报》20日讯，龙迅股份公告，公司拟在新加坡设立全资子公司Lontium Singapore Pte. Ltd.，投资金额1000万美元。公司设立境外全资子公司有利于进一步拓展海外市场，提高全球供应链采购能力，提升国际市场占有率及公司整体抗风险能力。,17:37:55,2023-09-20,龙迅股份,688486.SH
北京中国铁建国际城154套房产挂牌转让,【北京中国铁建国际城154套房产挂牌转让】财联社9月20日电，据北京产权交易所网站披露，北京市朝阳区清河营东路6号院154套房产挂牌转让，单套转让底价从633万元到864万元不等，转让方为北京市朝阳区住房和城乡建设委员会。公告显示，该项目是位于北京市朝阳区清河营东路6号院的中国铁建国际城。,17:35:53,2023-09-20,,
北向资金今日净卖出35.4亿元 贵州茅台遭卖出2.72亿元,【北向资金今日净卖出35.4亿元 贵州茅台遭卖出2.72亿元】财联社9月20日电，北向资金今日净卖出35.4亿元。贵州茅台、伊利股份、迈瑞医疗分别遭净卖出2.72亿元、2.46亿元、1.89亿元。赛力斯净买入额居首，金额为2.18亿元。,17:30:54,2023-09-20,,
雄安新区取消商品住房预售 机构：短期全面推行现房销售的可能性较小,【雄安新区取消商品住房预售 机构：短期全面推行现房销售的可能性较小】财联社9月20日电，雄安新区住房管理中心发布消息，河北雄安新区取消商品住房预售。中指研究院市场研究总监陈文静表示，当前期房销售仍是我国商品房销售的绝对主流模式，在金融配套政策到位以及解决部分核心城市可能出现的供给断档问题之前，全面推行现房销售的可能性较小，预计短期仍将通过在核心城市部分项目进行试点或者在部分地区小范围落地执行的方式推进。,17:26:02,2023-09-20,雄安新区取消,
宁波方正：筹划以现金方式购买骏鹏通信不低于51%股权,【宁波方正：筹划以现金方式购买骏鹏通信不低于51%股权】财联社9月20日电，宁波方正公告，公司正在筹划以现金方式购买骏鹏通信不低于51%股权，本次交易完成后，公司将成为骏鹏通信控股股东。骏鹏通信系由公司实际控制人方永杰、王亚萍之女方如玘控制，本次交易构成关联交易。,17:25:39,2023-09-20,宁波方正,300998.SZ
俄防长：西方对俄罗斯和伊朗施加的制裁毫无前景,【俄防长：西方对俄罗斯和伊朗施加的制裁毫无前景】财联社9月20日电，据俄罗斯卫星通讯社报道，俄罗斯国防部长绍伊古20日在同伊朗国防部长阿什蒂亚尼举行会谈时表示，俄伊两国合作已提高到一个新水平，双方对话目前保持积极发展势头。他还指出，西方对俄罗斯和伊朗施加的制裁毫无前景。,17:23:27,2023-09-20,俄防长,
中化国际：公司及子公司今年累计获得政府补助1.32亿元,【中化国际：公司及子公司今年累计获得政府补助1.32亿元】财联社9月20日电，中化国际公告，公司及子公司自2023年1月1日至本公告日期间，累计获得与收益相关的政府补助1.32亿元，占公司2022年度经审计的归属于上市公司股东净利润的10.04%。,17:23:21,2023-09-20,中化国际,600500.SH
周鸿祎：不要等大模型“无所不能”才入局 “现在就可以开始干了”,【周鸿祎：不要等大模型“无所不能”才入局 “现在就可以开始干了”】财联社9月20日电，“大模型的进化才刚刚开始，现在是百模大战，未来很有可能演化为‘万模群舞’。”9月20日，360创始人周鸿祎在2023亚布力智能制造论坛的演讲中，谈到了对大模型赛道的“预测”。“目前大模型的能力还远没有达到顶峰。但我认为，大家不要等大模型无所不能才开始干，不要在一场新的工业革命到来之际袖手旁观。”在演讲中，周鸿祎“呼吁”道，他表示：只要想清楚场景，现在就可以开始干了，套用耐克的广告语就是“Just do it”。,17:22:37,2023-09-20,周鸿祎,
【风口研报·公司】孟晚舟今日称算力是AI发展的核心驱动力，这家公司拥有某省最大云计算数据中心；本月存储备货需求旺盛，现货价格稳步上扬，这家公司切入存储器检测领域，下游绑定国内存储龙头,"①孟晚舟今日称算力是AI发展的核心驱动力，这家公司拥有某省最大云计算数据中心，并深入提供IDC建、管、维服务；
②本月存储备货需求旺盛，现货价格稳步上扬，这家公司切入存储器检测领域，下游绑定国内存储龙头。",17:22:37,2023-09-20,,
劲嘉股份：拟5亿元设全资子公司 开展电子材料相关业务,【劲嘉股份：拟5亿元设全资子公司 开展电子材料相关业务】财联社9月20日电，劲嘉股份公告，公司拟出资5亿元设立全资子公司，名称为深圳劲嘉新源科技集团有限公司（简称“劲嘉新源”），劲嘉新源定位为聚焦电子材料发展的平台公司，开展研发、投资、管理具有高附加值的半导体材料和功能性薄膜等领域的电子材料相关业务。同日公告，劲嘉新源拟与深圳后浪实验室科技有限公司签署战略合作协议，双方围绕聚合物/金属复合材料产品用高功率磁控溅射设备开展战略合作；劲嘉新源拟对唯亮科技增资1521.74万元，增资完成后，劲嘉新源将持有唯亮科技7%的股权，从而切入先进半导体及光电器件封装材料等电子材料相关业务。,17:20:42,2023-09-20,劲嘉股份,002191.SZ
成都全面布局超算、智算和通用算力三个领域,【成都全面布局超算、智算和通用算力三个领域】《科创板日报》9月20日讯，在今日召开的2023成都创交会上，记者获悉，成都已在超算、智算和通用算力三个关键领域全面布局。超算方面，国家超算成都中心主机性能峰值高达170P，全国排名第5；智算方面，成都智算中心的主机性能峰值达到300P，已为52家企业和40多个高校及研究机构提供了普惠性的公共算力服务；通用算力方面，成都已有9个大型和超大型数据中心投入运营，包括移动、联通、电信和万国等，机架数已超过5万个。（记者 陈美）,17:19:23,2023-09-20,,
美国商务部长：将推动美方早日承认越南市场经济地位,【美国商务部长：将推动美方早日承认越南市场经济地位】财联社9月20日电，越南总理范明政在华盛顿会见美国商务部长吉娜·雷蒙多。雷蒙多表示，美国企业十分关注并希望对越南寻找经营和投资商机，相信在完成“印太经济框架”（IPEF）讨论后，企业和投资基金将加大对越南投资。雷蒙多另外称，将推动美方早日承认越南市场经济地位，并协调配合落实联合声明中商定的内容，特别是在经济、贸易和投资等优先领域，继续将两国合作更加广泛、实质性、有效发展。,17:18:56,2023-09-20,美国商务部长,
法国欲推进欧盟境内航班最低限价,【法国欲推进欧盟境内航班最低限价】财联社9月20日电，法国交通部长克莱芒·博纳说，法国将寻求其他欧洲联盟成员国支持推行欧盟境内航班最低限价，以期减轻民航业碳排放对气候变化的影响。,17:18:49,2023-09-20,,
中国联通：截至8月5G套餐用户累计到达数2.43亿户,【中国联通：截至8月5G套餐用户累计到达数2.43亿户】财联社9月20日电，中国联通发布8月份运营数据，截至8月“大联接”用户累计到达数9.47亿户，其中5G套餐用户累计到达数2.43亿户。,17:16:39,2023-09-20,中国联通,600050.SH
设“杀猪盘”骗钱 9名缅北回流人员因跨境电诈在无锡获刑,【设“杀猪盘”骗钱 9名缅北回流人员因跨境电诈在无锡获刑】财联社9月20日电，无锡江阴法院9月19日对9名缅北回流人员跨境电信网络诈骗案作出一审宣判：杨某等犯诈骗罪，判处有期徒刑一年九个月至九个月不等，并处罚金五千元至三千元不等。法院审理查明，2019年，黄某先后在缅甸勐波洪门大厦、五金建材城等地租赁办公室并成立电信诈骗公司，采用“杀猪盘”方式骗取中国境内公民钱财。该公司从上而下分为老板、总监、代理、组长和业务员，另有财务、客服、后勤等。业务员通过社交软件寻找被害人，通过聊天、“谈恋爱”等取得信任，为进一步诱骗做准备。据查，黄某犯罪团伙的其他成员仅针对江阴的被害人梅某就骗得140余万元。,17:15:43,2023-09-20,,
北新建材：签署收购项目《交易条款备忘录》及《诚意金协议》,【北新建材：签署收购项目《交易条款备忘录》及《诚意金协议》】财联社9月20日电，北新建材公告，公司有意收购嘉宝莉化工集团股份有限公司（简称嘉宝莉）的控制权，并与嘉宝莉的第一大股东香港世骏就股权收购事宜达成了初步意向。9月20日，公司与香港世骏就上述事宜分别签署了《交易条款备忘录》和《诚意金协议》。,17:11:41,2023-09-20,北新建材,000786.SZ
,财联社9月20日电，阿塞拜疆国防部表示，在俄罗斯维和人员的参与下达成停火协议。,17:10:02,2023-09-20,,
恒瑞医药：子公司两款产品获得药物临床试验批准通知书,【恒瑞医药：子公司两款产品获得药物临床试验批准通知书】财联社9月20日电，恒瑞医药公告，子公司苏州盛迪亚生物医药有限公司收到国家药监局核准签发关于注射用SHR-5495的《药物临床试验批准通知书》，注射用SHR-5495通过利用PD-1在肿瘤内和外周T细胞上表达量的差异，特异性激活肿瘤的免疫细胞，从而避免外周T细胞的过度激活；子公司上海恒瑞医药有限公司收到SHR-2005注射液的《药物临床试验批准通知书》，SHR-2005注射液通过激活和促进抗肿瘤T细胞应答，达到抑制肿瘤生长的作用。,17:04:39,2023-09-20,恒瑞医药,600276.SH
金诚信：Lonshi铜矿采选冶联合工程建成投产,【金诚信：Lonshi铜矿采选冶联合工程建成投产】财联社9月20日电，金诚信公告，位于刚果（金）的Lonshi铜矿采、选、冶联合工程已完成建设期各项工作，并于2023年9月20日正式进入生产阶段。Lonshi铜矿采选原矿设计处理规模150万吨/年，通过湿法冶炼系统生产标准阴极铜。根据生产计划，Lonshi铜矿预计2024年底实现达产，达产后年产约4万吨铜金属。,17:04:34,2023-09-20,金诚信,603979.SH
波兰总统：不允许乌克兰粮食不受任何控制地在波兰市场销售,【波兰总统：不允许乌克兰粮食不受任何控制地在波兰市场销售】财联社9月20日电，波兰总统杜达在接受外媒采访时表示，波兰不能允许乌克兰粮食不受任何控制地在波兰市场上销售，令人遗憾的是乌克兰不想理解这一点。杜达强调：“我们也有我们的公民，我们必须照顾他们的利益。”,17:03:45,2023-09-20,波兰总统,
诺德股份：拟投建诺德光储能源电站零碳智慧产业园项目,【诺德股份：拟投建诺德光储能源电站零碳智慧产业园项目】财联社9月20日电，诺德股份公告，控股孙公司湖北诺德锂电与黄石经开区拟签署《项目投资合同书》，投资建设诺德复合集流体产业园项目，本项目计划总投资25亿元。项目建成达产后，预计每年可生产复合铝箔和复合铜箔4.2亿平方米，年产值约40亿元，生产设备产线为柔性设备，可兼容生产复合铝箔和复合铜箔。此外，控股子公司诺德晟世与黄石经开区拟签署《项目投资合同书》，投资建设诺德光储能源电站零碳智慧产业园项目，计划固定资产总投资52亿元。,17:01:51,2023-09-20,诺德股份,600110.SH
中国移动：8月移动业务客户总数9.86亿户,【中国移动：8月移动业务客户总数9.86亿户】财联社9月20日电，中国移动发布8月客户数据，8月移动业务客户总数9.86亿户，其中5G套餐客户数7.33亿户。,17:01:47,2023-09-20,中国移动,600941.SH
长江证券研究所所长徐春将携核心团队加盟国联证券  出任副总裁兼研究所所长,【长江证券研究所所长徐春将携核心团队加盟国联证券  出任副总裁兼研究所所长】财联社9月20日电，记者获悉，徐春已向长江证券正式提出离职，将与机构部总经理李敏捷、首席策略分析师包承超等核心团队一道加盟国联证券，徐春将出任国联证券副总裁、研究所所长。据悉，徐春于2019年出任长江证券研究所所长以来，长江证券研究所分仓佣金收入连续3年排名行业第二，2023年上半年分仓佣金收入达4.67亿元，排名行业第四位。（记者  刘超凤）,17:01:32,2023-09-20,,
周三投资舆情热点,"【周三投资舆情热点】
1）存储芯片：三星电子预计，从第四季度起存储芯片市场或将供不应求，存储涨价潮逐渐蔓延。
2）脑机接口：Neuralink宣布，已获得一个独立审查委员会的批准，将进行首次人体试验，对瘫痪患者的大脑植入设备。
3）创新药：2023年H1新药IND受理量同比增长85%，，将成为2-3年后部分创新药企重要的催化或驱动剂。
4）煤炭：煤炭主产区安全监管形势依然严峻，焦煤、焦炭期货主力合约近期持续走高。",16:57:32,2023-09-20,,
国内成品油价年内第十涨 部分地区95号汽油进入9元时代,【国内成品油价年内第十涨 部分地区95号汽油进入9元时代】财联社9月20日电，国内成品油价迎来年内第十次上调。国家发改委发布消息称，自24时起，国内每吨汽油上调385、柴油上调370元。折合升价，92号汽油上调0.3元、95号汽油和0号柴油各上调0.32元和0.31元。以油箱容量50L的普通私家车计算，车主们加满一箱油将多花15元左右；对满载50吨的大型物流运输车辆而言，平均每行驶一百公里，燃油费用增加12.4元左右。,16:57:10,2023-09-20,,
乘联会：“金九银十”效应应该会出现 自驾游成为出行移动的购车需求,【乘联会：“金九银十”效应应该会出现 自驾游成为出行移动的购车需求】财联社9月20日电，乘联会统计，9月1日至17日，全国乘用车市场零售80.4万辆，同比去年同期增长10%，较上月同期增长2%；其中，新能源车市场零售31.3万辆，同比去年同期增长29%，较上月同期增长8%。乘联会分析称，“金九银十”效应应该会出现，超长的“十一”假期以及过往大型旅游景点摩肩接踵的火爆场景，包括全国范围内相对凉爽的金秋气候，都将促进周边游、自驾游成为出行移动的购车需求。,16:52:36,2023-09-20,乘联会,
北京无人驾驶出行试点收费运营,【北京无人驾驶出行试点收费运营】财联社9月20日电，北京市智能网联汽车政策先行区颁发首批乘用车“车内无人、车外远程”出行服务商业化试点通知书，小马智行获准在北京亦庄开启车内无人自动驾驶 出行服务（Robotaxi）收费。这标志着自动驾驶出行产业正有序进入业务造血阶段。,16:51:04,2023-09-20,,
